t,y
20.0,-0.09833183848392438
20.02,-0.09857183460156865
20.04,-0.09881183071921293
20.06,-0.09905182683685718
20.08,-0.09929182295450145
20.1,-0.09953181907214578
20.12,-0.09977181518979003
20.14,-0.1000118113074343
20.16,-0.10025180742507858
20.18,-0.10049180354272286
20.2,-0.1007317996603671
20.22,-0.10097179577801138
20.24,-0.10121179189565566
20.26,-0.10145178801329996
20.28,-0.10169178413094423
20.3,-0.10193178024858851
20.32,-0.10217177636623276
20.34,-0.10241177248387703
20.36,-0.10265176860152131
20.38,-0.10289176471916558
20.4,-0.10313176083680983
20.42,-0.10337175695445416
20.44,-0.10361175307209841
20.46,-0.10385174918974269
20.48,-0.10409174530738696
20.5,-0.10433174142503124
20.52,-0.10457173754267549
20.54,-0.10481173366031976
20.56,-0.10505172977796404
20.58,-0.10529172589560831
20.6,-0.10553172201325262
20.62,-0.10577171813089689
20.64,-0.10601171424854114
20.66,-0.10625171036618541
20.68,-0.10649170648382969
20.7,-0.10673170260147397
20.72,-0.10697169871911821
20.74,-0.10721169483676249
20.76,-0.10745169095440679
20.78,-0.10769168707205107
20.8,-0.10793168318969534
20.82,-0.10817167930733962
20.84,-0.10841167542498387
20.86,-0.10865167154262817
20.88,-0.10889166766027242
20.9,-0.10913166377791667
20.92,-0.10937165989556097
20.94,-0.10961165601320527
20.96,-0.10985165213084952
20.98,-0.11009164824849382
21.0,-0.11033164436613807
21.02,-0.11057164048378232
21.04,-0.11081163660142662
21.06,-0.11105163271907087
21.08,-0.11129162883671512
21.1,-0.11153162495435948
21.12,-0.11177162107200372
21.14,-0.11201161718964797
21.16,-0.11225161330729228
21.18,-0.11249160942493652
21.2,-0.11273160554258077
21.22,-0.11297160166022507
21.24,-0.11321159777786932
21.26,-0.11345159389551362
21.28,-0.11369159001315793
21.3,-0.11393158613080218
21.32,-0.11417158224844642
21.34,-0.11441157836609073
21.36,-0.11465157448373497
21.38,-0.11489157060137928
21.4,-0.11513156671902353
21.42,-0.11537156283666783
21.44,-0.11561155895431208
21.46,-0.11585155507195638
21.48,-0.11609155118960063
21.5,-0.11633154730724493
21.52,-0.11657154342488918
21.54,-0.11681153954253343
21.56,-0.11705153566017773
21.58,-0.11729153177782198
21.6,-0.11753152789546628
21.62,-0.11777152401311058
21.64,-0.11801152013075483
21.66,-0.11825151624839908
21.68,-0.11849151236604338
21.7,-0.11873150848368763
21.72,-0.11897150460133188
21.74,-0.11921150071897618
21.76,-0.11945149683662049
21.78,-0.11969149295426473
21.8,-0.11993148907190904
21.82,-0.12017148518955328
21.84,-0.12041148130719753
21.86,-0.12065147742484184
21.88,-0.12089147354248608
21.9,-0.12113146966013039
21.92,-0.12137146577777469
21.94,-0.12161146189541894
21.96,-0.12185145801306319
21.98,-0.12209145413070749
22.0,-0.12233145024835174
22.02,-0.12257144636599604
22.04,-0.12281144248364029
22.06,-0.12305143860128454
22.08,-0.12329143471892884
22.1,-0.12353143083657314
22.12,-0.12377142695421739
22.14,-0.12401142307186169
22.16,-0.12425141918950594
22.18,-0.12449141530715019
22.2,-0.12473141142479449
22.22,-0.12497140754243874
22.24,-0.125211403660083
22.26,-0.12545139977772735
22.28,-0.1256913958953716
22.3,-0.12593139201301584
22.32,-0.12617138813066014
22.34,-0.1264113842483044
22.36,-0.12665138036594864
22.38,-0.12689137648359294
22.4,-0.1271313726012372
22.42,-0.1273713687188815
22.44,-0.1276113648365258
22.46,-0.12785136095417005
22.48,-0.1280913570718143
22.5,-0.1283313531894586
22.52,-0.12857134930710284
22.54,-0.12881134542474715
22.56,-0.1290513415423914
22.58,-0.12929133766003564
22.6,-0.12953133377767995
22.62,-0.12977132989532425
22.64,-0.1300113260129685
22.66,-0.1302513221306128
22.68,-0.13049131824825705
22.7,-0.1307313143659013
22.72,-0.1309713104835456
22.74,-0.13121130660118985
22.76,-0.13145130271883415
22.78,-0.13169129883647845
22.8,-0.1319312949541227
22.82,-0.13217129107176695
22.84,-0.13241128718941125
22.86,-0.1326512833070555
22.88,-0.13289127942469975
22.9,-0.13313127554234405
22.92,-0.13337127165998836
22.94,-0.1336112677776326
22.96,-0.1338512638952769
22.98,-0.13409126001292115
23.0,-0.1343312561305654
23.02,-0.1345712522482097
